Patientnumber,Gender,Age,Weight,BCS,Sxleg,TPA,IOS,IOA,PreOA,PostOA,PreG,PreE,PreOS,PreM,PostG,PostE,PostOs,PostM,Plate,Type,Meniscus,PRP,MlPRP,Nocita,Icomp,Hosp,Antibiotic,Increcheck,Lamerecheck,Comprecheck,Polame, Osteotomy,CompPO,Incinfection,Explant,Reop,Bilateral
326009,FS,1,29.2,6,R,45,,,2,2,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,Y,N,1,Y,N,1,N,0,N,N,N,N,N,N
307046,MN,4,24.4,6,L,30,,,2,2,1,2,1,0,1,1,1,0,3.5,S,T,Y,2,N,N,1,N,N,3,N,1,Y,N,N,N,N,N
329911,FS,10,27.4,5,L,28,,,2,2,1,2,1,1,1,2,1,1,3.5,S,T,Y,2,N,Y,1,N,N,1,N,0,N,N,N,N,N,N
338982,MN,7,39.6,5,R,30,MO,MO,3,3,1,1,2,0,1,1,2,0,3.5,B,T,Y,2,N,N,1,Y,N,2,N,0,Y,N,N,N,N,N
308479,FS,2,26.4,5,L,30,,,2,,2,2,2,1,,,,,3.5,S,T,Y,2,N,N,1,N,N,1,N,,,N,N,N,N,N
336135,FS,9,29.8,5,R,29,MO,MO,4,4,2,2,2,1,2,2,2,1,3.5,S,T,Y,2,Y,Y,1,N,S,2,N,0,Y,N,N,N,N,N
33404,FS,5,40.4,5,R,30,,,3,3,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,Y,N,1,N,N,1,N,1,Y,N,N,N,N,N
340318,FS,5,28.4,5,R,29,,,3,3,1,2,1,1,1,2,1,1,3.5,S,I,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
233454,MN,7,30,5,L,29,MO,MO,3,3,1,1,1,0,1,1,1,0,3.5,S,T,Y,3,N,N,1,Y,N,1,N,0,Y,N,N,N,N,N
329264,FS,3,53,9,R,27,,,3,3,1,2,1,0,1,2,1,0,3.5,B,T,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
329674,MN,6,23.6,5,R,30,,,1,,1,2,2,0,,,,,3.5,S,T,Y,2,Y,N,1,N,N,2,N,,,N,N,N,N,N
26928,MN,4,31,6,R,23,M,M,2,2,1,1,0,0,0,2,0,1,3.5,S,I,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
336819,FS,7,27,5,L,27,,,1,,1,3,1,0,,,,,3.5,S,I,Y,2,Y,N,1,Y,N,1,N,,,,N,N,N,N
313951,MN,2,32.8,6,L,30,,,3,3,1,2,1,1,1,2,1,0,3.5,B,T,Y,2,N,Y,3,Y,N,3,Y,1,Y,N,N,N,N,N
341877,FS,9,26,5,R,28,,,2,1,2,2,2,1,1,1,1,0,3.5,S,I,Y,2,N,N,2,Y,N,0,N,0,Y,N,N,N,N,N
218322,FS,8,46.3,6,L,28,,,3,4,1,1,1,0,1,1,2,0,3.5,B,I,Y,2,N,N,1,Y,N,2,Y,1,N,Y,N,Y,Y,Y
218322,FS,9,46.6,6,R,28,,,3,3,1,1,1,0,1,2,1,0,3.5,B,T,Y,2,N,N,1,N,N,1,N,0,Y,Y,N,N,N,Y
35185,FS,6,26,5,R,29,MO,MO,3,3,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,N,N,1,N,N,1,Y,0,N,N,N,N,N,Y
129185,FS,7,36.6,6,L,30,,,1,3,1,2,1,1,1,2,1,1,3.5,S,I,Y,2,N,N,2,Y,N,2,N,0,Y,N,N,N,N,N
235904,FS,6,35,7,L,30,,,3,3,2,2,2,1,2,2,2,1,3.5,S,T,Y,2,N,Y,1,Y,N,2,N,0,Y,N,N,N,N,N
33404,FS,2,46,7,L,32,MO,MO,3,3,1,1,1,0,1,1,1,1,3.5,S,I,Y,2,N,N,1,Y,N,1,N,0,Y,N,N,N,N,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
